name,date,valor
Largie Ramazani,2019-12-10,0.5
Largie Ramazani,2020-10-08,0.4
Largie Ramazani,2021-12-27,3.0
Largie Ramazani,2022-11-07,9.0
Largie Ramazani,2023-12-22,6.0
Largie Ramazani,2024-06-07,5.0
Lucas Beltrán,2021-10-20,0.5
Lucas Beltrán,2022-10-26,3.0
Lucas Beltrán,2023-12-20,12.0
Lucas Beltrán,2024-06-05,16.0
Luis Rioja,2016-08-01,0.3
Luis Rioja,2017-06-30,0.15
Luis Rioja,2018-06-30,0.3
Luis Rioja,2019-12-20,2.0
Luis Rioja,2020-10-08,1.5
Luis Rioja,2021-12-30,3.0
Luis Rioja,2022-12-29,3.0
Luis Rioja,2023-12-22,3.0
Luis Rioja,2024-12-27,2.0
Luis Rioja,2025-12-12,2.0
Mouctar Diakhaby,2016-11-01,0.8
Mouctar Diakhaby,2017-10-12,6.0
Mouctar Diakhaby,2018-12-21,12.0
Mouctar Diakhaby,2019-12-20,30.0
Mouctar Diakhaby,2020-10-08,10.0
Mouctar Diakhaby,2021-12-30,7.5
Mouctar Diakhaby,2022-11-07,8.0
Mouctar Diakhaby,2023-12-22,6.0
Mouctar Diakhaby,2024-12-27,2.0
Mouctar Diakhaby,2025-12-12,2.8
Pepelu,2016-10-27,0.25
Pepelu,2017-06-05,0.3
Pepelu,2018-05-30,0.3
Pepelu,2019-12-30,1.0
Pepelu,2020-08-17,1.5
Pepelu,2021-12-30,2.5
Pepelu,2022-12-29,3.0
Pepelu,2023-12-22,12.0
Pepelu,2024-06-07,22.0
Renzo Saravia,2013-06-30,0.3
Renzo Saravia,2015-07-14,0.85
Renzo Saravia,2016-08-08,1.0
Renzo Saravia,2017-10-09,1.25
Renzo Saravia,2018-12-18,5.0
Renzo Saravia,2019-12-30,4.0
Renzo Saravia,2020-09-09,3.2
Renzo Saravia,2021-12-17,3.0
Renzo Saravia,2022-11-14,2.5
Renzo Saravia,2023-07-25,2.2
Stole Dimitrievski,2011-12-19,0.6
Stole Dimitrievski,2012-07-03,0.1
Stole Dimitrievski,2013-06-23,0.075
Stole Dimitrievski,2014-10-23,0.4
Stole Dimitrievski,2015-09-28,0.4
Stole Dimitrievski,2016-10-27,0.3
Stole Dimitrievski,2017-06-29,0.3
Stole Dimitrievski,2018-12-21,1.0
Stole Dimitrievski,2019-12-20,3.0
Stole Dimitrievski,2020-10-08,1.5
Stole Dimitrievski,2021-12-30,2.5
Stole Dimitrievski,2022-11-07,4.0
Stole Dimitrievski,2023-12-22,4.0
Stole Dimitrievski,2024-12-27,3.0
Stole Dimitrievski,2025-12-12,2.0
Thierry Correia,2019-12-20,3.0
Thierry Correia,2020-10-08,2.5
Thierry Correia,2021-12-30,8.0
Thierry Correia,2022-11-07,14.0
Thierry Correia,2023-12-22,8.0
Thierry Correia,2024-12-27,6.0
Thierry Correia,2025-12-12,3.0
Umar Sadiq,2014-09-18,0.05
Umar Sadiq,2015-11-30,0.9
Umar Sadiq,2016-07-15,2.5
Umar Sadiq,2017-12-29,1.8
Umar Sadiq,2018-06-12,1.8
Umar Sadiq,2019-10-28,2.5
Umar Sadiq,2020-10-08,5.0
Umar Sadiq,2021-12-27,18.0
Umar Sadiq,2022-11-07,18.0
Umar Sadiq,2023-12-22,16.0
Umar Sadiq,2024-12-27,5.0
Umar Sadiq,2025-12-12,4.0
Unai Núñez,2016-10-22,0.3
Unai Núñez,2017-06-30,0.3
Unai Núñez,2018-12-21,12.5
Unai Núñez,2019-12-20,15.0
Unai Núñez,2020-10-08,20.0
Unai Núñez,2021-12-30,12.0
Unai Núñez,2022-11-07,6.0
Unai Núñez,2023-12-22,6.0
Unai Núñez,2024-06-07,7.0
